Year,Grower,Filed  name,Ph,K,P,Mg,Soil texture,K fert,P fert,Mg fert,Rolling after drilling,Irrigatio ,Pre-emergence Herbicide,Post-emergence Herbicide,Insecticides,Fungicides,Cultiavtions,Drilling date,Harvest date,Variety,Yield,Temp.,Rainfall,Lat,Long
2017,j&m stammers,Corny,6.9,2,3,1,sl,90,0,0,y,n, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Ploughing,31/03/2017,25/06/2017,SM,4.5,17.5,107.8,52.33669,1.62934
2019,j&m stammers,Brome,7.2,1,3,1,sl,88,0,12,n,n, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Ploughing,04/04/2019,,GE,4.3,,,52.33669,1.62934
2012,PC Kindred and Son,Poplar Track,8.2,2,3,2,CL,,,,Y,, Nirvana,, Aphox, Amistar,Intensive Tillage,01/06/2012,20/08/2012,WX,7.1,19.6,188.5,52.19383,1.39067
2013,PC Kindred and Son,Mill and Orchard,8.1,3,3,2,CL,,,,Y,, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Intensive Tillage,20/05/2013,15/08/2013,AS,6.5,20,82.9,52.19383,1.39067
2016,PC Kindred and Son,Hobbles/Brickles,8.3,2,3,2,CL,,,,Y,, Nirvana,, Aphox, Amistar,Intensive Tillage,09/06/2016,19/08/2016,ST,4.9,21,153.8,52.19383,1.39067
2016,PC Kindred and Son,Rachels,8.2,2,3,2,CL,,,,Y,, Nirvana,, Aphox, Amistar,Intensive Tillage,10/06/2016,19/08/2016,ST,4.9,21,153.8,52.19383,1.39067
2017,PC Kindred and Son,Little Berring Boy,8,3,3,3,CL,,,,Y,, Nirvana,, Aphox, Amistar,Intensive Tillage,30/05/2017,10/08/2017,ST,6,21,116.6,52.19383,1.39067
2018,PC Kindred and Son,61 acre,8.3,2,3,2,CL,,,,Y,, Nirvana, Tropotox, Aphox, Amistar,Intensive Tillage,01/06/2018,09/08/2018,MR3,3.4,17.9,80.2,52.19383,1.39067
2011,PC Kindred and Son,Sessions,8.2,4,3,3,CL,,,,Y,, Nirvana,,, Amistar,Intensive Tillage,,,,,,,52.19383,1.39067
2011,PC Kindred and Son,Mound,8,3,3,2,CL,,,,Y,, Nirvana,,, Amistar,Intensive Tillage,,,,,,,52.19383,1.39067
2012,Porters Farms ,Brooms,8,2,3,2,CL,0,0,0,Y,N,"Glyphosate, Nirvana", ,"Hallmark Zeon, Aphox "," Amistar, Thiovet Jet",Ploughing,14/05/2012,06/08/2012,BG,8.2,18.6,202.3,52.30887,1.46702
2013,Porters Farms ,Old Hill,8.25,3,3,2,CL,0,0,0,Y,N,"Glyphosate, Nirvana", Tropotox,"Hallmark Zeon, Aphox ", Amistar,Ploughing,01/06/2013,11/08/2013,DM,3.1,20.4,54.1,52.30887,1.46702
2014,Porters Farms ,Back Meadow,7.92,2,3,2,CL,140,36,0,Y,N,"Glyphosate, Nirvana", ,"Hallmark Zeon, Aphox ", Amistar,Ploughing,17/05/2014,28/07/2014,WX,2.5,20.3,146.4,52.30887,1.46702
2015,Porters Farms ,Yoxford,8.14,2,3,2,CL,0,0,0,Y,N,"Glyphosate, Nirvana", , , Amistar,Ploughing,03/06/2015,15/08/2015,NA,1.2,20.7,153,52.30887,1.46702
2018,Porters Farms ,Garden Hill,8.08,2,3,1,CL,16,62,0,Y,N,"Glyphosate, Nirvana", ,"Hallmark Zeon, Aphox ", ,Non-intensive tillage,27/05/2018,01/08/2018,NA3,2.6,22.4,25,52.30887,1.46702
2018,Porters Farms ,Gayfers,8.06,2,3,1,CL,41,152,0,Y,N,"Glyphosate, Nirvana", ,"Hallmark Zeon, Aphox ", ,Non-intensive tillage,28/05/2018,01/08/2018,NA3,3.7,22.4,25,52.30887,1.46702
2018,Porters Farms ,Open field,8.2,2,3,2,CL,0,0,0,Y,N,"Glyphosate, Nirvana", ,"Hallmark Zeon, Aphox ", ,Non-intensive tillage,28/05/2018,01/08/2018,NA3,3.7,22.4,24,52.30887,1.46702
2019,Porters Farms ,Pear Tree,7.8,2,3,2,CL,21,78,0,Y,N,"Glyphosate, Nirvana", , , ,Non-intensive tillage,20/05/2019,,COD2,4.5,,,52.30887,1.46702
2020,Porters Farms ,Brooms,7.8,2,3,2,CL,63,95,0,Y,N,"Glyphosate, Nirvana"," Basagran, Tropotox ", , ," Direct Drilling, Non-intensive",25/05/2020,12/08/2020,KM,5.9,21.6,112.4,52.30887,1.46702
2020,Porters Farms ,Covey Field,7.8,2,3,2,CL,63,95,0,Y,N,"Glyphosate, Nirvana"," Basagran, Tropotox ", , ," Direct Drilling, Non-intensive",25/05/2020,12/08/2020,KM,5,21.6,112.4,52.30887,1.46702
2016,Porters Farms ,Grove,8.16,2,3,2,CL,20,75,0,Y,N,"Glyphosate, Nirvana", , Aphox, Amistar,Ploughing,,,,3.8,,,52.30887,1.46702
2016,Benacre Farms,Eight Ac C,7.8,1,3,0,,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,06/04/2016,04/08/2016,FS,6.5,17.6,193.8,52.19383,1.39067
2016,Benacre Farms,Old Ladies,8.3,1,3,1,,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,06/04/2016,04/08/2016,FS,6.5,17.6,193.8,52.19383,1.39067
2016,Benacre Farms,Weston Field,7.3,1,3,1,,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,06/04/2016,09/07/2016,FS,6.5,16.1,160,52.19383,1.39067
2016,Benacre Farms,Parsonage,7.5,1,3,1,,90,15,14,Y,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,08/04/2016,09/07/2016,FS,5.2,16.2,158.4,52.19383,1.39067
2017,Benacre Farms,Clay Pit,7.8,1,3,2,,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,31/03/2017,27/06/2017,SM,4,17.5,93,52.19383,1.39067
2017,Benacre Farms,Cottage PkFm,7,1,3,2,,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,31/03/2017,27/06/2017,SM,4,17.5,93,52.19383,1.39067
2017,Benacre Farms,Thirty Three Ac,8.5,1,3,1,,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,31/03/2017,26/06/2017,SM,3.6,17.5,93,52.19383,1.39067
2017,Benacre Farms,Spring Field PkFm,7.5,1,3,1,,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,01/04/2017,26/06/2017,SM,4.5,17.5,93,52.19383,1.39067
2017,Benacre Farms,Wood Farn S,7.6,1,3,1,,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,01/04/2017,26/06/2017,SM,4.5,17.5,93,52.19383,1.39067
2017,Benacre Farms,Grey Walk,7.6,1,3,1,,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,03/04/2017,26/06/2017,SM,4.5,17.6,93,52.19383,1.39067
2017,Benacre Farms,South Walk,7,1,3,1,,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,03/04/2017,26/06/2017,SM,4.5,17.6,93,52.19383,1.39067
2017,Benacre Farms,Eighteen Ac HFm,7,1,3,1,,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,05/04/2017,26/06/2017,SM,6.5,17.6,92.8,52.19383,1.39067
2018,Benacre Farms,Barn Jays,7.2,2,3,1,,90,15,14,,Y,"Glyphosate, Nirvana"," Basagran, Tropotox ", Aphox, Amistar,Ploughing,05/04/2018,01/07/2018,BG3,5.9,17.7,86.2,52.19383,1.39067
2018,Benacre Farms,Cart Shed RHFm,7.3,1,3,0,,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,05/04/2018,01/07/2018,BG3,5.9,17.7,86.2,52.19383,1.39067
2018,Benacre Farms,Stone Hill,7.3,1,3,1,,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,05/04/2018,01/07/2018,BG3,5.9,17.7,86.2,52.19383,1.39067
2018,Benacre Farms,EighteenAc Py,7.3,1,3,2,,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,13/04/2018,02/07/2018,BG3,4.9,18.4,78.4,52.19383,1.39067
2018,Benacre Farms,Steamroller,7.4,1,3,2,,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,13/04/2018,02/07/2018,BG3,4.9,18.4,78.4,52.19383,1.39067
2018,Benacre Farms,Front Church Farm ,7.7,2,3,2,,90,15,14,Y,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,14/04/2018,04/07/2018,BG3,5.5,18.6,78.2,52.19383,1.39067
2018,Benacre Farms,Park HH,7.8,2,3,2,,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,15/04/2018,02/07/2018,BG3,5.6,18.6,78.2,52.19383,1.39067
2019,Benacre Farms,Home Close,6.8,1,3,1,,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,04/04/2019,,GE,6.4,,,52.19383,1.39067
2019,Benacre Farms,North Walks,6.7,1,3,1,,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,04/04/2019,,GE,6.4,,,52.19383,1.39067
2019,Benacre Farms,New Road,7.1,2,3,2,,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,05/04/2019,,GE,2.4,,,52.19383,1.39067
2019,Benacre Farms,Covehithe FF,7.1,1,3,2,,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,06/04/2019,,RT,5.5,,,52.19383,1.39067
2019,Benacre Farms,Granary,7,1,3,2,,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,06/04/2019,,RT,5.5,,,52.19383,1.39067
2020,Benacre Farms,Bush Field,8,2,3,2,,90,15,14,Y,Y,"Glyphosate, Nirvana",, Aphox,,,06/04/2020,29/06/2020,LB,3.6,18,66.4,52.19383,1.39067
2020,Benacre Farms,Dutch Barn,8,3,3,2,,90,15,14,Y,Y,"Glyphosate, Nirvana",, Aphox,,,06/04/2020,29/06/2020,LB,3.6,18,66.4,52.19383,1.39067
2020,Benacre Farms,Stable Field,8,2,3,2,,90,15,14,Y,Y,"Glyphosate, Nirvana",, Aphox,,,06/04/2020,29/06/2020,LB,6.1,18,66.4,52.19383,1.39067
2020,Benacre Farms,Marsh Walk,7.7,1,3,1,,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox,,,07/04/2020,01/07/2020,GE,6.1,18.1,66.4,52.19383,1.39067
2020,Benacre Farms,Potash,7.4,2,3,1,,90,15,14,Y,Y,"Glyphosate, Nirvana",, Aphox,,,08/04/2020,01/07/2020,GE,4.6,18.1,66.4,52.19383,1.39067
2020,Benacre Farms,Toms FF,7.4,2,3,1,,90,15,14,Y,Y,"Glyphosate, Nirvana",, Aphox,,,08/04/2020,02/07/2020,GE,2.4,18.1,66.4,52.19383,1.39067
2012,Bedingfield Hall Farms,Hornpie,7.9,3,3,3,CL,,,,Y,N,"Glyphosate, Nirvana",,Hallmark Zeon , Amistar,Intensive tillage,10/06/2012,24/08/2012,GS,4.5,20.3,163.4,52.26337,1.21414
2019,Bedingfield Hall Farms,40 Acres,7.4,3,3,2,CL,,,,Y,N,"Glyphosate, Nirvana"," Basagran, Tropotox ",Metaldehyde (4), Amistar,Ploughing,31/05/2019,,KM,3.9,,,52.26337,1.21414
2020,Bedingfield Hall Farms,Hornpie,8.1,3,3,2,CL,,,,Y,N,"Glyphosate, Nirvana",, Aphox, Amistar,,28/05/2020,11/08/2020,KM,4.7,21.3,101.6,52.26337,1.21414
2012,FG Taylor,Sandpit,8,3,3,1,SCL,0,,,Y,N,"Glyphosate, Nirvana",, Aphox," Amistar, Thiovet Jet",Ploughing,02/06/2012,22/08/2012,AR,4.3,19.6,203.3,52.1439,1.25783
2012,FG Taylor,Peartree,7.5,2,3,1,SCL,0,,,Y,N,"Glyphosate, Nirvana",, Aphox," Amistar, Thiovet Jet",Ploughing,06/06/2012,22/08/2012,CE,3.5,20,188.5,52.1439,1.25783
2020,FG Taylor,Sandpit,7.5,2,3,1,SCL,0,,,Y,N,"Glyphosate, Nirvana",, Decis Protech, Amistar,Ploughing,01/06/2020,15/08/2020,BA,3.9,21.8,76.4,52.1439,1.25783
2020,FG Taylor,Peartree,7.5,2,3,1,SCL,0,,,Y,N,"Glyphosate, Nirvana",, Decis Protech, Amistar,Ploughing,01/06/2020,15/08/2020,BA,3.9,21.8,76.4,52.1439,1.25783
2011,FG Taylor,Mcmaster,8,2,3,2,Clay Loam,25,Pig Muck,,Y,N,"Glyphosate, Nirvana, Centium",,"Hallmark Zeon, Aphox ", Amistar,Ploughing,,,,,,,52.1439,1.25783
2013,GL Anderson,church,7.45,1,3,1,,0,0,12,N,N,"Glyphosate, Nirvana, Centium"," Basagran, Tropotox ","Hallmark Zeon, Aphox ", Amistar,,09/04/2013,16/07/2013,FS,5.7,16.6,83.8,52.80034,1.55076
2012,PH Middleditch,Cedars,8.1,2,3,2,Sand,45,30,0,No,Yes,Glyphosate,,, Amistar,Ploughing,07/04/2012,14/07/2012,A4,7,15.5,338.7,52.44758,1.62572
2015,PH Middleditch,Campalongs,7.2,2,3,2,Loam,60,60,0,No,Yes,"Glyphosate, Nirvana",,,,Ploughing,13/03/2015,26/06/2015,PM,6.6,14.7,137.8,52.44758,1.62572
2016,PH Middleditch,9 Acres,6.6,2,3,2,Clay,75,50,0,No,No,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Ploughing,24/05/2016,05/08/2016,NA,4.9,20,181.8,52.44758,1.62572
2016,PH Middleditch,22 Acres,7.8,2,3,1,Clay,75,50,0,No,No,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Ploughing,24/05/2016,05/08/2016,NA,4.9,20,181.8,52.44758,1.62572
2019,PH Middleditch,6 Acres,7.6,3,3,2,Clay,120,80,0,No,no,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ",,Ploughing,17/05/2019,,BE,5.8,,,52.44758,1.62572
2011,PH Middleditch,Pumphouse,7.6,2,3,1,Sand,75,50,0,No,Yes,Glyphosate, Basagran,,,Ploughing,,,,,,,52.44758,1.62572
2017,R.Ellis,stalham rd,6.9,1,3,2,SL,,,,N,N,"Nirvana, Centium",,, Amistar,Ploughing,20/04/2017,07/07/2017,BG,8.1,18.9,140.2,52.76397,1.57433
2018,R.Ellis,mill piece,7.3,1,3,1,SL,,,,N,N,"Nirvana, Centium",,"Hallmark Zeon, Aphox ", Amistar,Ploughing,09/05/2018,20/07/2018,PS2,5.7,20.3,44.9,52.76397,1.57433
2019,R.Ellis,whitehorse,6.9,1,3,2,SL,,,,N,N,"Nirvana, Centium",,"Hallmark Zeon, Aphox ", Amistar,Ploughing,19/04/2019,,SL,6.7,,,52.76397,1.57433
2020,Retreat Farms,Brook Hall,7.58,2,3,2,Clay Loam,152,101,47,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Ploughing,21/05/2020,06/08/2020,NA,,19,96.6,52.41676,1.41887
2018,Retreat Farms,Davidsons,8.1,2,3,1,Clay Loam,134,90,0,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Ploughing,24/05/2018,29/07/2018,NA,5,22.8,46.4,52.41676,1.41887
2018,Retreat Farms,Pylon,7.7,2,3,2,Clay Loam,134,90,0,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Ploughing,24/05/2018,29/07/2018,NA,2.8,22.8,46.4,52.41676,1.41887
2016,Retreat Farms,Bunker,8.1,2,3,1,Clay Loam,142,95,0,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Ploughing,21/05/2016,01/08/2016,BE,6.9,19,163,52.41676,1.41887
2015,Retreat Farms,Apple Trees,7.6,2,3,2,Clay Loam,118,89,0,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Ploughing,02/06/2015,17/08/2015,NA,6.2,19,117.8,52.41676,1.41887
2015,Retreat Farms,Bulhams House,7.5,3,3,2,Clay Loam,118,89,0,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Ploughing,02/06/2015,14/08/2015,NA,6.2,19,117.6,52.41676,1.41887
2014,Retreat Farms,Brook Cottage,8,2,3,2,Clay Loam,112,85,0,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Ploughing,02/06/2014,12/08/2014,IB,5.5,20.7,98.5,52.41676,1.41887
2013,Retreat Farms,Heavyland ,7.7,2,3,2,Clay Loam,93,93,0,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Ploughing,01/06/2013,08/08/2013,WX,5,20.7,63.5,52.41676,1.41887
2020,Hirst Farms Ltd,Schol,7.2,3.1,2.8,1.8,SCL,90,,,,N, Nirvana,,"Hallmark Zeon, Aphox "," Amistar, Thiovet Jet","Intensive Tillage, Ploughing",18/04/2020,04/07/2020,NL,5,16.4,74.2,52.67993,1.68823
2019,Hirst Farms Ltd,Copper,7.2,2.5,2.5,1.3,SCL,90,,,,N, Nirvana,,"Hallmark Zeon, Aphox "," Amistar, Thiovet Jet","Intensive Tillage, Ploughing",08/04/2019,,GE,5.5,,,52.67993,1.68823
2020,Hirst Farms Ltd,Home Farm,7.1,3,2.5,1.8,SCL,90,,,N,N, Nirvana,,"Hallmark Zeon, Aphox "," Amistar, Thiovet Jet","Intensive Tillage, Ploughing",18/04/2020,04/07/2020,NL,5.3,16.4,74.2,52.67993,1.68823
2014,Benacre Farms,Big Field,7.2,1,2,1,SL,90,15,14,Y,Y,"Glyphosate, Nirvana"," Basagran, Tropotox ", Aphox, Amistar,Ploughing,11/03/2014,23/06/2014,BT,7.2,16,142.2,52.19383,1.39067
2014,Benacre Farms,Church Field HH,7,1,2,1,SCL,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,14/03/2014,22/06/2014,BT,4.4,16.1,140,52.19383,1.39067
2015,Benacre Farms,Ten Ac RHFm,7,3,2,1,,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,11/03/2015,01/07/2015,CG,8.3,15.1,103.6,52.19383,1.39067
2015,Benacre Farms,Hole Barn,8.2,2,2,1,,90,15,14,,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,12/03/2015,27/06/2015,PM,11.1,14.8,102.4,52.19383,1.39067
2011,Benacre Farms,Sir Thomas Field,7.8,1,2,1,,90,15,14,Y,Y,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,,,,,,,52.19383,1.39067
2015,CSA,Pylon,8.2,1,2,2,SL,50.22,100.43,0,N,N, Nirvana, , Aphox, Amistar,"Ploughing, Non-intensive tillage",12/05/2015,22/07/2015,BG,1.8,19.1,102,52.0712,1.46625
2020,CSA,Oyster Winn,6.8,1,2,2,SL,0,0,0,N,Y,"Glyphosate, Nirvana", Tropotox, Aphox, Amistar,Non-intensive tillage,24/03/2020,22/06/2020,BT,3.9,16.5,50.8,52.0712,1.46625
2012,G A TALLOWIN & CO.,EASTHILL,7,1,2,1,SL,,,,,, Nirvana,, Aphox, Amistar,Ploughing,06/04/2012,24/07/2012,BG,11,15.7,347.8,52.74494,1.58406
2013,G A TALLOWIN & CO.,LUDHAM HILL,7,1,2,1,SL,,,,,, Nirvana,, Aphox, Amistar,Ploughing,18/04/2013,18/07/2013,FS,8.1,16.7,73,52.74494,1.58406
2014,G A TALLOWIN & CO.,SOUTHILL,7,1,2,1,SL,,,,,, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Ploughing,22/03/2014,25/06/2014,BT,6.6,16.4,150.8,52.74494,1.58406
2015,G A TALLOWIN & CO.,FOXHOLE,7,1,2,1,SL,,,,,, Nirvana,, Aphox, Amistar,Ploughing,25/03/2015,05/07/2015,BT,5.1,16.2,119,52.74494,1.58406
2015,G A TALLOWIN & CO.,AIRFIELD,7,1,2,1,SL,,,,,, Nirvana,, Aphox, Amistar,Ploughing,25/03/2015,05/07/2015,BT,5.4,16.2,119,52.74494,1.58406
2016,G A TALLOWIN & CO.,PRAIRIE,7,1,2,1,SL,,,,,, Nirvana,,"Hallmark Zeon, Aphox ", ,Ploughing,27/05/2016,08/08/2016,CP,5,20.4,115.2,52.74494,1.58406
2019,G A TALLOWIN & CO.,EASTHILL,7,1,2,1,SL,80,40,,,, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Ploughing,19/04/2019,,SL,8.6,,,52.74494,1.58406
2016,Hirst Farms Ltd,Dowe Hill,6.7,3,2,1.6,SCL,90,,,,N, Nirvana,,"Hallmark Zeon, Aphox "," Amistar, Thiovet Jet","Intensive Tillage, Ploughing",11/04/2016,13/07/2016,FS,4.7,15.7,161.2,52.67993,1.68823
2017,Hirst Farms Ltd,Scratby South,6.8,2,2,1.4,SCL,90,,,,N, Nirvana,,"Hallmark Zeon, Aphox "," Amistar, Thiovet Jet","Intensive Tillage, Ploughing",12/04/2017,03/07/2017,FS,6.9,16.9,110.8,52.67993,1.68823
2018,Hirst Farms Ltd,Frogs Hall,7.1,3,2,1.5,SCL,90,,,,Y, Nirvana,,"Hallmark Zeon, Aphox "," Amistar, Thiovet Jet","Intensive Tillage, Ploughing",22/04/2018,12/07/2018,BG2,6.9,17.9,63.6,52.67993,1.68823
2019,Hirst Farms Ltd,Copalot,6.8,2,2,1.7,SCL,90,,,,N, Nirvana,,"Hallmark Zeon, Aphox "," Amistar, Thiovet Jet","Intensive Tillage, Ploughing",08/04/2019,,GE,6.1,,,52.67993,1.68823
2012,j&m stammers,Dell,7.1,1,2,1,sl,90,0,0,n,n, Nirvana,, Aphox,,Ploughing,03/04/2012,12/07/2012,FS,7.6,15.2,321.5,52.33669,1.62934
2013,j&m stammers,North,7.2,2,2,1,sl,90,0,0,n,n, Nirvana," Basagran, Tropotox ", Aphox, Amistar,Ploughing,18/04/2013,16/07/2013,FS,5.5,16.5,73,52.33669,1.62934
2013,j&m stammers,Orchard,7.1,2,2,1,sl,90,0,0,n,n, Nirvana," Basagran, Tropotox ", Aphox, Amistar,Ploughing,18/04/2013,15/07/2013,FS,4,16.3,73,52.33669,1.62934
2014,j&m stammers,7 Acre,7,1,2,1,sl,90,0,0,n,n, Nirvana, Laser,"Hallmark Zeon, Aphox ", Amistar,Ploughing,19/03/2014,21/06/2014,SH,7.8,15.8,130,52.33669,1.62934
2014,j&m stammers,QLN,6.9,1,2,1,sl,90,0,0,n,n, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Ploughing,19/03/2014,20/06/2014,SH,7.5,15.8,130,52.33669,1.62934
2018,j&m stammers,Reydon ,6.9,2,2,1,sl,92,0,15,n,n, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Ploughing,16/04/2018,04/07/2018,BG3,5,18.6,78.2,52.33669,1.62934
2019,j&m stammers,Backhouse,7,1,2,1,sl,88,0,12,n,n, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Ploughing,04/04/2019,,GE,4.3,,,52.33669,1.62934
2020,j&m stammers,Pit,7.4,1,2,1,sl,90,0,15,n,n, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Ploughing,03/04/2020,27/06/2020,GE,4.6,18,72.2,52.33669,1.62934
2020,j&m stammers,Dell,7.5,1,2,1,sl,90,0,15,n,n, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Ploughing,03/04/2020,27/06/2020,GE,4.6,18,72.2,52.33669,1.62934
2020,j&m stammers,Cades,7.6,2,2,1,sl,90,0,15,n,n, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Ploughing,03/04/2020,27/06/2020,GE,4.6,18,72.2,52.33669,1.62934
2017,j&m stammers,Sprites,6.8,1,2,1,sl,90,60,0,y,n, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Ploughing,,,,,,,52.33669,1.62934
2011,j&m stammers,Backhouse,6.9,1,2,1,sl,90,0,0,n,n, Nirvana, Tropotox, Aphox,,Ploughing,,,,,,,52.33669,1.62934
2011,j&m stammers,Brome,6.8,1,2,1,sl,90,0,0,n,n, Nirvana, Tropotox, Aphox,,Ploughing,,,,,,,52.33669,1.62934
2014,PC Kindred and Son,Zebra/Bancocks,8,2,2,3,CL,,,,Y,, Nirvana,, Aphox, Amistar,Intensive Tillage,08/05/2014,24/07/2014,BE,8,19.5,161,52.19383,1.39067
2019,PC Kindred and Son,Fram Road,8,2,2,2,CL,,,,Y,, Nirvana,,"Hallmark Zeon, Aphox ", Amistar,Intensive Tillage,23/05/2019,,NA,4.2,,,52.19383,1.39067
2014,Porters Farms ,Blue Barn,8.3,2,2,2,CL,0,0,0,Y,N,"Glyphosate, Nirvana", ,"Hallmark Zeon, Aphox ", Amistar,Ploughing,17/05/2014,29/07/2014,WX,3.4,20.4,147.4,52.30887,1.46702
2015,Porters Farms ,Neathouse,8.18,2,2,2,CL,0,0,0,Y,N,"Glyphosate, Nirvana", , , Amistar,Ploughing,03/06/2015,15/08/2015,NA,1.2,20.7,153,52.30887,1.46702
2019,Porters Farms ,Bellmans Hill,7.9,2,2,2,CL,30,113,0,Y,N,"Glyphosate, Nirvana", , , ,Non-intensive tillage,21/05/2019,,BE,6.1,,,52.30887,1.46702
2019,Porters Farms ,Bench Hill,8,2,2,2,CL,31,117,0,Y,N,"Glyphosate, Nirvana", , , ,Non-intensive tillage,21/05/2019,,BE,6.1,,,52.30887,1.46702
2016,Benacre Farms,Carrot Marshland,7.4,1,2,1,,90,15,14,,,"Glyphosate, Nirvana",, Aphox, Amistar,Ploughing,08/04/2016,09/07/2016,FS,5.2,16.2,158.4,52.19383,1.39067
2014,Bedingfield Hall Farms,Broadlands,8,3,2,2,CL,,,,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Intensive tillage,15/04/2014,10/07/2014,BG,6.1,17.6,154.8,52.26337,1.21414
2014,Bedingfield Hall Farms,Rookery,8,3,2,2,CL,,,,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Intensive tillage,15/04/2014,10/07/2014,BG,6.1,17.6,154.8,52.26337,1.21414
2015,Bedingfield Hall Farms,16 Acres T,8,2,2,1,CL,,,,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Intensive tillage,12/05/2015,25/07/2015,E9,6.9,19.2,159,52.26337,1.21414
2015,Bedingfield Hall Farms,25 Acres,8,3,2,2,CL,,,,Y,N,"Glyphosate, Nirvana", Tropotox,"Hallmark Zeon, Aphox ",,Intensive tillage,13/05/2015,25/07/2015,E9,3.9,19.2,158,52.26337,1.21414
2015,Bedingfield Hall Farms,Cherry Field,8,3,2,2,CL,,,,Y,N,"Glyphosate, Nirvana", Tropotox,"Hallmark Zeon, Aphox ", Amistar,Intensive tillage,13/05/2015,24/07/2015,E9,3.7,19.3,158,52.26337,1.21414
2017,Bedingfield Hall Farms,Coles,7.8,2,2,2,CL,,,,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Intensive tillage,04/06/2017,15/08/2017,ST,3,21.2,161.2,52.26337,1.21414
2017,Bedingfield Hall Farms,Banks Hill,7.8,2,2,2,CL,,,,Y,N,"Glyphosate, Nirvana",,"Hallmark Zeon, Aphox ", Amistar,Intensive tillage,04/06/2017,15/08/2017,ST,3.6,21.2,161.2,52.26337,1.21414
